# Tile ,NCCS_ID,Status,RA,Dec,Vmag,err_Vmag,Rmag,Imag,VFWHM,RFWHM,IFWHM,?,?,?,?,Quality ,Redshift,Distance,,,,My favorite H0=74.03 km*s^-1*Mpc^-1,,C=2.99E8 m/s
tile19h12m+87d48m,1220711,3,283.41338,87.65489,18.182,0.04,17.53,16.976,1.437,2.082,2.469,0,0,0,2,5,0.0191,77.1430501148183,,,,,,
tile20h24m+88d00m,1222097,3,308.7331,87.81556,15.089,0.009,14.241,13.568,3.457,5.09,4.898,3,3,3,3,5,0.0191,77.1430501148183,,,,,,
tile18h00m+88d00m,2456754,3,270.77859,87.73581,16.92,0.028,16.901,16.409,2.271,5.547,6.062,0,2,2,2,4,0.0192,77.5469404295556,,,,,,
tile19h12m+88d30m,440226,3,284.37276,88.14516,16.712,0.01,16.118,15.571,2.707,3.769,3.831,0,0,0,3,5,0.0193,77.9508307442929,,,,,,
tile18h00m+88d00m,2456361,3,269.52513,87.63001,17.645,0.028,17.043,16.629,2.356,3.725,4.551,0,0,2,2,5,0.0193,77.9508307442929,,,,,,
tile16h48m+87d48m,2446818,3,255.41385,88.12177,18.163,0.038,17.763,17.519,2.194,3.68,2.541,3,2,2,2,5,0.0196,79.1625016885047,,,,,,
tile10h48m+87d18m,2306616,3,165.60801,87.27118,17.743,0.056,17.385,16.54,3.758,3.525,3.637,0,2,0,3,3,0.0197,79.5663920032419,,,,,,
tile20h24m+88d00m,2479375,3,307.90843,87.62363,18.908,0.071,18.28,18.435,3.127,3.388,2.057,2,2,1,3,1,0.0197,79.5663920032419,,,,,,
tile18h00m+88d00m,754451,3,273.15949,88.06869,18.292,0.09,18.154,17.258,1.431,2.689,2.034,0,2,2,2,2,0.0198,79.9702823179792,,,,,,
tile00h00m+87d06m,1485364,3,3.30042,86.95164,17.153,0.014,17.05,16.16,5.545,3.806,4.011,2,3,2,3,3,0.0211,85.2208564095637,,,,,,
tile02h24m+88d42m,2524297,3,34.12626,88.63051,18.3,0.054,17.443,16.627,3.095,3.567,2.741,2,2,2,3,3,0.0212,85.624746724301,,,,,,
tile12h00m+87d48m,1675329,3,180.20205,87.69414,17.739,0.038,17.434,16.837,1.539,2.014,2.161,0,0,0,2,5,0.0218,88.0480886127246,,,,,,
tile13h12m+87d18m,1526971,3,193.23974,87.32502,16.1,0.013,15.573,14.764,3.917,5.907,4.812,0,0,0,3,1,0.022,88.8558692421991,,,,,,
tile01h12m+87d18m,1129582,3,14.79256,86.99707,17.976,0.025,17.338,16.486,1.957,2.877,2.511,0,2,2,2,3,0.0225,90.8753208158855,,,,,,
tile03h36m+88d00m,813397,3,48.90707,88.21133,18.634,0.039,17.144,16.487,4.009,6.837,6.151,2,3,3,3,3,0.0229,92.4908820748345,,,,,,
tile09h36m+87d48m,1659801,3,149.33996,87.48269,17.913,0.023,17.258,16.55,1.782,3.129,2.835,0,0,0,2,2,0.0229,92.4908820748345,,,,,,
tile03h36m+87d18m,1589328,3,61.30592,87.37446,16.304,0.009,15.637,15.04,1.557,2.12,2.186,3,3,3,2,5,0.0244,98.5492367958936,,,,,,
tile06h00m+88d00m,1620445,3,89.32528,88.10481,18.951,0.079,18.304,17.334,1.966,2.218,2.434,0,0,0,2,5,0.0254,102.588139943266,,,,,,
tile09h36m+89d12m,3700945,3,139.75036,89.09818,17.586,0.038,17.209,16.453,3.222,3.517,3.981,3,0,2,3,2,0.0257,103.799810887478,,,,,,
tile04h48m+87d48m,2692405,3,80.46194,87.59093,18.601,0.046,17.905,17.327,1.928,2.299,2.456,0,0,0,2,5,0.0259,104.607591516953,,,,,,
tile02h24m+88d42m,813803,3,46.10666,88.43898,16.686,0.027,15.768,14.993,3.07,4.707,4.393,0,2,2,3,3,0.026,105.01148183169,,,,,,
tile16h48m+87d06m,3025929,3,257.8519,86.77334,18.46,0.039,17.61,18.235,1.108,1.847,2.236,0,0,0,2,5,0.0264,106.627043090639,,,,,,
tile13h12m+87d18m,1525602,3,189.91947,87.44382,17.596,0.037,17.043,16.058,1.783,2.136,1.797,0,0,2,2,1,0.0269,108.646494664325,,,,,,
tile20h24m+87d18m,2482208,3,313.66529,87.26347,17.319,0.015,16.72,16.307,1.981,3.012,3.483,0,0,0,2,5,0.027,109.050384979063,,,,,,
tile21h36m+87d06m,1454735,3,327.59151,87.10057,18.618,0.057,18.311,17.738,2.805,3.304,2.997,2,0,2,3,5,0.0273,110.262055923274,,,,,,
tile00h00m+89d12m,419927,3,20.4721,89.0671,18.378,0.071,17.47,16.721,3.25,4.587,3.966,3,3,2,3,3,0.028,113.089288126435,,,,,,
tile19h12m+88d30m,752486,3,298.60393,88.62513,18.656,0.074,17.754,17.174,1.705,2.737,2.282,0,0,2,2,1,0.0294,118.743752532757,,,,,,
tile08h24m+88d00m,1623601,3,118.02185,88.17395,17.23,0.013,16.362,15.59,2.137,2.415,2.424,0,0,0,2,5,0.0307,123.994326624341,,,,,,
tile18h00m+87d18m,428500,3,263.79599,87.20802,16.067,0.01,15.384,14.964,1.777,2.398,2.064,2,0,0,2,5,0.0308,124.398216939079,,,,,,
tile16h48m+87d06m,933620,3,257.50838,87.27783,18.68,0.074,18.247,17.898,1.44,1.87,2.328,0,0,0,2,4,0.0313,126.417668512765,,,,,,
tile09h36m+87d48m,1664709,3,138.37026,87.4961,18.627,0.026,17.675,17.225,2.899,4.081,3.755,0,0,2,3,5,0.0317,128.033229771714,,,,,,
tile07h12m+87d06m,864,3,106.405,87.02635,18.055,0.054,17.186,16.168,2.591,2.621,2.39,0,2,0,3,1,0.0329,132.879913548561,,,,,,
tile14h24m+89d12m,2798106,3,225.88208,88.78474,16.347,0.01,15.879,14.975,1.687,2.216,2.508,0,0,0,2,3,0.0335,135.303255436985,,,,,,
tile07h12m+87d06m,1624083,3,115.99167,87.10452,18.297,0.197,17.236,16.509,2.119,3.706,2.658,2,0,0,2,4,0.0337,136.11103606646,,,,,,
tile07h12m+87d06m,16199,3,108.86968,86.71395,18.304,0.034,17.598,17.084,2.013,2.181,1.931,0,0,0,2,1,0.0338,136.514926381197,,,,,,
tile14h24m+89d12m,3613142,3,202.84736,89.06073,18.845,0.055,18.205,17.703,2.055,3.063,2.381,0,0,3,2,1,0.0339,136.918816695934,,,,,,
tile07h12m+87d48m,1650136,3,104.96065,87.3269,16.099,0.023,15.412,14.639,4.034,3.988,3.913,3,3,3,3,4,0.0358,144.592732675942,,,,,,
