No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
221,WISEA J133456.27+860200.2,203.73408,86.03347,G,20705,0.069066,PHOT,     ,0,1,0,27,4,1,2,0
222,WISEA J133505.11+871558.7,203.77087,87.26622,G,14454,0.048213,PHOT,     ,0,1,0,27,4,1,2,0
223,WISEA J134700.39+862654.6,206.75097,86.44832,G,14246,0.04752,PHOT,17.01,0,2,0,30,5,1,2,0
224,WISEA J134915.12+875650.3,207.31321,87.94736,G,19405,0.064728,PHOT,     ,0,1,0,27,4,1,2,0
225,WISEA J135823.48+872754.8,209.59871,87.46525,G,17453,0.058216,PHOT,     ,0,1,0,27,4,1,2,0
226,WISEA J140004.94+873241.9,210.01896,87.54497,G,17931,0.05981,PHOT,     ,0,1,0,27,4,1,2,0
227,WISEA J140100.44+872814.4,210.25158,87.47064,G,17516,0.058428,PHOT,     ,0,1,0,27,4,1,2,0
228,WISEA J140316.60+875757.5,210.81779,87.966,G,16959,0.05657,PHOT,     ,0,1,0,27,4,1,2,0
229,WISEA J140438.19+863531.1,211.15894,86.59183,G,12273,0.040937,PHOT,16.8,0,2,0,31,5,1,2,0
230,CGCG 370-021,212.02667,86.36766,G,8168,0.027245,    ,15.7,0,12,0,15,5,3,3,0
231,WISEA J141043.75+870351.1,212.68067,87.06411,G,19928,0.066471,PHOT,     ,0,1,0,31,5,1,2,0
232,WISEA J141057.83+865825.7,212.74267,86.97386,G,18824,0.062789,PHOT,     ,0,1,0,31,5,1,2,0
233,WISEA J142057.26+873657.4,215.23975,87.61594,G,15495,0.051687,PHOT,     ,0,1,0,31,5,1,2,0
234,MCG +15-01-015,215.49167,87.15286,G,19073,0.06362,PHOT,17,0,5,0,31,5,1,4,0
235,WISEA J142458.72+870830.4,216.24325,87.14181,G,16475,0.054956,PHOT,     ,0,1,0,27,4,1,2,0
236,WISEA J142528.68+875015.1,216.3705,87.83761,G,14952,0.049876,PHOT,     ,0,1,0,27,4,1,2,0
237,WISEA J142726.69+871117.3,216.85876,87.18809,G,14454,0.048213,PHOT,16.67,0,2,0,27,4,1,2,0
238,WISEA J142954.62+871642.3,217.4755,87.27836,G,17507,0.058398,PHOT,     ,0,1,0,31,5,1,2,0
239,NSC J143003+865254,217.51575,86.88156,GClstr,17328,0.0578,PHOT,     ,0,1,0,0,1,1,0,0
240,WISEA J143619.84+870200.0,219.079,87.03315,G,14605,0.048717,PHOT,17.78,0,2,0,31,5,1,2,0
241,WISEA J143816.35+874818.9,219.56633,87.80525,G,12224,0.040776,PHOT,     ,0,1,0,27,4,1,2,0
242,WISEA J144427.63+860056.5,221.11571,86.01567,G,19238,0.064172,PHOT,     ,0,1,0,31,5,1,2,0
243,WISEA J144452.85+883503.8,221.21684,88.58425,G,14817,0.049424,PHOT,17.35,0,2,0,27,4,1,2,0
244,WISEA J145030.82+890457.8,222.62342,89.08267,G,21105,0.0704,PHOT,     ,0,1,0,27,4,1,2,0
245,WISEA J145455.07+873603.7,223.72946,87.60097,G,15406,0.051389,PHOT,     ,0,1,0,27,4,1,2,0
246,WISEA J145756.35+870132.3,224.48296,87.02561,G,17300,0.057705,PHOT,     ,0,1,0,27,4,1,2,0
247,NSC J145920+870748,224.83483,87.12989,GClstr,16309,0.0544,PHOT,     ,0,1,0,0,1,1,0,0
248,WISEA J150646.33+870701.8,226.693,87.11722,G,13739,0.045827,PHOT,     ,0,1,0,27,4,1,2,0
249,WISEA J150925.10+865349.5,227.35271,86.89714,G,18832,0.062818,PHOT,     ,0,1,0,29,5,1,2,0
250,WISEA J151326.29+884233.0,228.35127,88.70927,G,15539,0.051834,PHOT,17.76,0,2,0,27,4,1,2,0
251,WISEA J152423.94+865456.7,231.09833,86.91578,G,13247,0.044188,PHOT,     ,0,1,0,31,5,1,2,0
252,WISEA J153444.77+863941.9,233.68579,86.66161,G,18908,0.063069,PHOT,     ,0,1,0,27,4,1,2,0
253,WISEA J155310.16+874246.5,238.2892,87.71289,G,13638,0.045491,PHOT,16.86,0,2,0,31,5,1,2,0
254,WISEA J155400.39+882755.0,238.50283,88.46531,G,19351,0.064549,PHOT,14.26,0,1,0,27,4,1,2,0
255,WISEA J155731.22+865826.3,239.37979,86.97394,G,14224,0.047445,PHOT,     ,0,1,0,27,4,1,2,0
256,2MASX J16001851+8648594,240.07708,86.81653,G,6218,0.02074,PHOT,     ,0,1,0,15,3,1,2,0
257,MCG +15-01-017,240.18567,87.81532,G,15647,0.052192,PHOT,17,0,6,0,31,6,1,3,1
258,WISEA J160711.47+882354.3,241.79996,88.3983,G,17019,0.056769,PHOT,17.3,0,2,0,31,5,1,2,0
259,WISEA J160955.96+863412.3,242.48271,86.57014,G,15966,0.053258,PHOT,     ,0,1,0,27,4,1,2,0
260,WISEA J161212.95+874239.3,243.05258,87.71092,G,13854,0.046212,PHOT,     ,0,1,0,31,5,1,2,0
261,WISEA J161350.21+870859.7,243.45992,87.14986,G,9983,0.0333,PHOT,     ,0,1,0,27,4,1,2,0
262,WISEA J163256.85+860306.9,248.23837,86.05192,G,19261,0.064247,PHOT,     ,0,1,0,31,5,1,2,0
263,WISEA J163257.33+860614.9,248.23908,86.10417,G,19896,0.066367,PHOT,     ,0,1,0,31,5,1,2,0
264,WISEA J163339.35+873643.9,248.41354,87.61217,G,17083,0.056983,PHOT,     ,0,1,0,27,4,1,2,0
265,WISEA J163729.04+864543.5,249.3665,86.76261,G,20954,0.069894,PHOT,     ,0,1,0,27,4,1,2,0
266,WISEA J163911.61+873653.4,249.79488,87.61507,G,13427,0.044786,PHOT,17.62,0,2,0,31,5,1,2,0
267,WISEA J164339.59+890847.4,250.91492,89.14653,G,16580,0.055306,PHOT,     ,0,1,0,27,4,1,2,0
268,WISEA J164635.82+861814.1,251.64921,86.30389,G,9477,0.031611,PHOT,     ,0,1,0,31,5,1,2,0
269,WISEA J164734.49+873654.8,251.89333,87.61517,G,20180,0.067314,PHOT,     ,0,1,0,27,4,1,2,0
270,UGC 10740,253.36397,86.59123,G,5750,0.01918,    ,15.38,0,19,1,29,9,4,7,0
271,2MASX J16532668+8910129,253.3756,89.17031,G,10390,0.034656,PHOT,17.26,0,2,0,13,3,1,2,0
272,WISEA J170131.85+891538.3,255.3815,89.26058,G,19753,0.065888,PHOT,     ,0,1,0,27,4,1,2,0
273,WISEA J170454.93+865224.0,256.22662,86.87338,G,11696,0.039013,PHOT,16.63,0,2,0,31,5,1,2,0
274,WISEA J170544.35+863953.5,256.43329,86.66486,G,16519,0.0551,    ,17.4,0,1,0,26,3,1,2,0
275,WISEA J170615.51+862837.3,256.56504,86.47692,G,10119,0.033755,PHOT,     ,0,1,0,26,4,1,2,0
276,WISEA J170629.90+864041.9,256.62425,86.67828,G,16620,0.055438,    ,18.6,0,6,0,32,6,3,2,0
277,2MFGC 13698,257.03562,86.69647,G,17049,0.056868,PHOT,12.2K,0,2,0,27,4,1,2,0
278,WISEA J171204.81+881439.6,258.019,88.24428,G,20127,0.067135,PHOT,     ,0,1,0,27,4,1,2,0
279,2MFGC 13732,258.10237,88.25158,G,20371,0.067951,PHOT,12.1K,0,2,0,27,4,1,2,0
280,WISEA J171915.25+862339.6,259.81375,86.39428,G,17916,0.059761,PHOT,     ,0,1,0,27,4,1,2,0
281,UGC 10923 NED01,259.88092,86.73836,G,7903,0.026362,    ,14.3,0,50,1,49,12,9,5,0
282,UGC 10923,259.97083,86.7375,GPair,7900,0.026352,    ,14.3,0,12,3,2,2,1,1,0
283,WISEA J172012.33+875652.5,260.05113,87.94792,G,17803,0.059386,PHOT,     ,0,1,0,27,4,1,2,0
284,UGC 10923 NED02,260.07313,86.73641,G,7923,0.026428,    ,16.31,0,10,0,36,8,3,6,0
285,WISEA J172123.96+891647.2,260.35338,89.27981,G,18042,0.060181,PHOT,     ,0,1,0,27,4,1,2,0
286,WISEA J172754.93+865400.4,261.979,86.90008,G,18737,0.062499,PHOT,     ,0,1,0,27,4,1,2,0
287,WISEA J172900.78+865524.0,262.25221,86.92339,G,14783,0.049312,PHOT,     ,0,1,0,27,4,1,2,0
288,2MASX J17310634+8756334,262.76779,87.94254,G,16931,0.056476,PHOT,     ,0,4,0,20,5,1,2,0
